act, ear, blade, afternoon, zinc, degree, flag, quarter, tin, grade, angle, ship, hot, caption, prison, mitten, knife
0, 49, -1836087781, 3191.720703, crow, 214926987, 1, 1, 1, 0, 21280.105469, 55, 1, -0.000061, $, 0, 168498087115
ff, 128, 802639, 60.867676, yarn, 753, 1, 0, 1, 0, 0.130707, 4, 1, -0.000061, E, 1, 0
52, 1, 53, -12077.736328, canvas, 3328320, 0, 0, 1, 0, 0.011230, 2, 1, 1.000000, /, 1, 5283889637070
1, 21, 6283238, 66682.273438, monkey, 8829, 1, 1, 1, 0, -476.722595, 1, 0, 2627.894043, F, 1, 1726
11, 27, 529897476, -0.004883, part, 12567945, 1, 1, 1, 1, 8437.666016, 1848, 1, 1885.768433, M, 0, 118012149
f5, 1, 195113, -12077.736328, mom, 723674, 0, 1, 0, 0, 0.011230, 1744, 1, 0.061249, L, 1, 315109155
51, 15, 1, -502.485840, drawer, 14, 1, 0, 0, 1, 475.216431, 14, 1, 0.000000, [, 1, 2400487117
0, 1, -261, 0.017578, cord, 1, 1, 0, 1, 1, -11.710419, 63473, 1, -15.578491, o, 0, 564572401280444599
eb, 46, -7754564, -2.727539, attack, 376877, 1, 0, 0, 0, -0.001617, 14260, 1, -0.223633, >, 1, 2669773034
0, 5, -56730080, -54351.683594, lake, 580, 1, 0, 0, 1, 0.225677, 4, 0, 0.000092, 5, 0, 1086961214916838466
0, 251, -57076, -444824.755859, clouds, 20, 0, 1, 1, 1, 469.951538, 99, 1, 9.653931, m, 0, 523
83, 0, 1, -0.012695, war, 723674, 1, 0, 0, 1, -84.915161, 0, 1, 1.000000, b, 1, 2117
3, 5, -56730080, -54351.683594, lake, 0, 0, 0, 0, 0, 0.225677, 1, 0, 0.000092, m, 0, 1086961214916838466
fa, 1, 1954097, 31.482910, maid, 180001240, 1, 0, 1, 1, -0.000092, 3, 0, -0.000275, R, 0, 94045674835
fa, 0, -7754564, 412291.361328, cord, 376877, 0, 1, 0, 0, -23353.072266, 933, 1, -0.223633, >, 0, 2669773034
0, 58, 1131240257, 812.141113, bridge, 92508, 1, 0, 0, 0, 1.000000, 0, 1, -0.040405, [, 1, 371450685
fa, 0, -1215, 412291.361328, cord, 1265, 1, 0, 1, 1, -23353.072266, 29454, 1, -0.223633, M, 0, 11499
1, 144, 102275, 0.000488, , 72844, 1, 0, 0, 0, 0.000000, 21, 0, -0.000061, ., 0, 97
0, 20, 0, 4.020508, cord, 1, 0, 0, 1, 0, -11.710419, 63473, 1, -15.578491, o, 0, 27615552252515
ff, 215, -969968, -26.666992, monkey, 8829, 0, 1, 1, 0, 1.000000, 2772, 1, 2627.894043, F, 0, 50
fd, 0, -1, 42113.830566, road, 107239, 0, 1, 0, 0, 1.000000, 719, 0, -31291.363281, &, 0, 5161127
fd, 0, -1, 3211.388672, , 122, 0, 0, 0, 0, 1.000000, 1353, 0, -31291.363281, W, 0, 1863
ff, 30, -88999940, 0.000000, war, 1, 0, 1, 1, 1, -84.915161, 205, 0, 1.000000, 6, 1, 17316817022840699258
92, 2, 1, -0.007812, clouds, 10734, 1, 0, 0, 1, -0.006134, 2, 1, 9.653931, f, 0, 38787944
0, 66, -422880690, -12727.320801, shelf, 155844, 1, 0, 1, 1, 0.003387, 1, 0, -0.000092, z, 0, 4695161391
c2, 2, 0, 0.430176, wind, 24, 1, 0, 0, 1, 0.251556, 3, 0, -0.040405, S, 0, 1
0, 20, -261, 0.017578, fowl, 1, 1, 0, 1, 1, -11.710419, 46, 1, -676.923401, o, 1, 564572401280444599
fc, 13, 53, 0.000000, wing, 229754, 0, 1, 0, 1, -0.000366, 1744, 0, 0.003479, k, 0, 41208421
