act, ear, blade, afternoon, zinc, degree, flag, quarter, tin, grade, angle, ship, hot, caption, prison, mitten, knife
f9, 0, -130297243, 0.003906, waste, 504, 0, 0, 0, 1, 22.606720, 1159, 0, 2264.082275, V, 0, 54163708
f9, 0, 5, 7.580078, wood, 504, 0, 0, 0, 0, 22.606720, 44496, 0, 2264.082275, c, 0, 202778530
fe, 1, 5086052, 1442.012207, ball, 23157458, 0, 1, 1, 0, 0.160004, 12, 0, 1814.650879, <, 0, 16537877052245010253
f5, 1, 5086052, 232.294434, steel, 23157458, 0, 0, 1, 0, 0.160004, 60440, 0, 1814.650879, <, 0, 14001990807215125835
90, 146, -2542, 320702.673828, beetle, 14, 1, 1, 0, 0, -0.000183, 69, 0, 1752.526489, 1, 1, 45247
ff, 0, 63215425, 0.030762, glass, 0, 0, 0, 1, 0, -0.011658, 17800, 0, 1752.526489, 5, 0, 3
f1, 3, -26706252, 150265.900391, bone, 6, 1, 0, 1, 0, 0.000092, 44, 1, 1752.526489, u, 1, 14233
f1, 1, 105413, 150265.900391, bone, 6, 1, 0, 1, 0, -0.011658, 4750, 1, 1752.526489, u, 1, 14233
3d, 58, -11865802, 0.000000, fang, 391473482, 1, 0, 0, 1, -3784.968506, 493, 0, 1647.691162, ), 0, 6
90, 15, -11865802, 0.000000, bottle, 391473482, 0, 1, 0, 1, -0.026764, 69, 0, 1647.691162, ), 0, 2913723843411
3, 26, 10942647, 33729.654297, crow, 14319094, 0, 0, 0, 0, -0.000427, 35, 0, 868.816895, ], 1, 7
fe, 6, 10942647, 33729.654297, paper, 14319094, 1, 0, 0, 0, 6452.796387, 28522, 0, 868.816895, ], 1, 7
39, 0, 163, 0.003418, window, 127968, 1, 1, 1, 0, 0.003510, 520, 1, 840.491211, W, 1, 38568580636
1, 7, -29028708, 791.315430, yard, 1213856536, 1, 0, 1, 1, 0.000214, 44, 0, 596.934875, i, 0, 4243954725492252
1, 133, 9, 1.411621, ducks, 8812, 0, 1, 0, 0, -6425.963867, 16901, 1, 596.934875, Z, 0, 309424609349338
39, 1, -29028708, 0.003418, motion, 127968, 1, 1, 1, 0, -0.000061, 122, 1, 596.934875, W, 0, 4243954725492252
ff, 89, 8994, 489.718750, quiet, 31, 1, 1, 0, 0, 11718.394531, 2514, 0, 574.013916, +, 1, 8992086771844
0, 21, 50, 18881.088379, chairs, 213503, 1, 0, 0, 0, 0.000031, 1725, 0, 418.580841, l, 1, 29997240
ff, 14, 2931199, -175.802246, screw, 0, 0, 1, 0, 0, -0.000000, 8, 0, 371.328857, 7, 1, 7891
ff, 15, 925003617, 0.000488, screw, 0, 0, 0, 0, 0, 0.000031, 1725, 0, 371.328857, 7, 1, 12795477
ff, 36, 110019, 0.993652, rat, 3, 1, 1, 0, 1, 1.047516, 424, 0, 360.262787, -, 1, 2256673312565368352
ff, 2, 1110, 214.801270, pies, 11, 1, 0, 1, 0, -22.330963, 424, 1, 360.262787, V, 1, 2256673312565368352
df, 113, 79447374, -215.701172, meat, 15435559, 0, 0, 1, 0, -3299.011475, 1913, 0, 292.561005, g, 1, 6
df, 21, 79447374, 0.005371, wood, 189428490, 1, 0, 1, 0, 0.012054, 49, 1, 292.561005, 3, 1, 16201133973847428
0, 157, 155497, -112112.341309, waves, 6415, 0, 1, 0, 0, 0.000031, 240, 1, 223.796295, z, 0, 266775
0, 157, 155497, -215.701172, waves, 6415, 0, 1, 0, 0, -1.121033, 2, 1, 223.796295, z, 1, 266775
fc, 5, -598, -108.253418, linen, 896, 0, 1, 0, 1, -0.231781, 126, 0, 217.391144, 8, 0, 1321949194
fc, 5, 85760508, -108.253418, linen, 896, 0, 1, 0, 1, -0.231781, 101, 0, 217.391144, 8, 1, 17369063075444
0, 5, -1117, 105125.043457, rule, 238, 0, 1, 1, 0, -0.086029, 993, 1, 175.925049, F, 1, 28023525094
fe, 1, -64477, -434233.770508, shelf, 5, 0, 1, 1, 0, 2246.063477, 10, 0, 166.431885, M, 0, 46170761
fe, 59, -64477, -434233.770508, prose, 5, 1, 1, 1, 0, -865.857300, 3, 0, 166.431885, M, 0, 46170761
fe, 16, -96572, -434233.770508, tail, 37168129, 1, 1, 1, 0, 0.121735, 9837, 0, 112.009644, M, 1, 6097904463877
3, 16, -96572, 0.274902, tail, 37168129, 0, 0, 1, 1, -1.122406, 28419, 0, 112.009644, c, 0, 918246845742399
fa, 20, 206637, -0.031250, men, 70083, 0, 1, 1, 0, -0.003662, 1996, 1, 80.618469, c, 0, 1885313
fa, 20, 0, 0.003906, tail, 70083, 0, 0, 1, 1, -0.449646, 1996, 1, 80.618469, c, 0, 918246845742399
ff, 1, -198, -55255.267090, crook, 4558620, 1, 1, 1, 0, -97.449738, 3893, 0, 67.673889, 5, 0, 185499812045896479
e3, 1, -486127, -0.000488, start, 441820967, 0, 1, 1, 0, 0.003571, 30, 0, 43.510071, d, 1, 752806
0, 97, 1963, -0.000488, pest, 57, 1, 1, 0, 1, 15772.936523, 3560, 1, 43.510071, y, 1, 1229713
e3, 97, 56150, -0.000488, wheel, 441820967, 0, 1, 1, 1, 8028.460449, 5, 1, 43.510071, d, 0, 752806
e3, 8, -1, 375.716309, start, 2962, 0, 1, 1, 0, -0.000397, 30, 1, 43.510071, A, 1, 319373286586
fc, 159, -39261406, 375.716309, rake, 3, 0, 0, 0, 1, -0.000397, 0, 0, 35.900177, %, 0, 52756920
fc, 120, -32555044, -12765.944824, fuel, 3, 1, 0, 0, 0, 606.810852, 113, 1, 35.900177, %, 0, 52756920
f8, 5, 9443, -0.194824, moon, 829, 0, 1, 0, 0, 0.003113, 1165, 0, 30.876770, }, 1, 4637155
dd, 9, 9443, -4.364258, flame, 2237433, 0, 1, 1, 1, -0.000061, 163, 1, 30.876770, v, 1, 4637155
fc, 2, -35091, -0.476562, dinner, 34, 0, 1, 1, 1, 0.043274, 7812, 0, 23.489380, N, 0, 4987
fc, 2, 55082, -4.364258, camp, 34, 1, 0, 1, 0, 29.651398, 3169, 0, 23.489380, v, 1, 4987
17, 95, -16373901, -101.369141, curve, 34, 1, 0, 1, 1, 0.043274, 5, 0, 22.805450, N, 1, 4446794276935232
1c, 23, -23, 156012.375488, muscle, 237607, 1, 1, 0, 0, -26.233948, 112, 0, 17.342773, ~, 0, 875
0, 4, 236515, -236.078125, lunch, 33437, 1, 0, 1, 1, -26.233948, 112, 0, 17.342773, M, 0, 60804845
a4, 0, -16373901, -101.369141, ice, 131, 0, 1, 0, 0, 48.329803, 112, 1, 17.342773, M, 1, 4446794276935232
c, 12, -3, -1227.153809, snake, 6, 1, 0, 0, 0, 259.264801, 5, 0, 16.015381, 3, 1, 30
f, 26, -349741, -0.361328, street, 51042853, 0, 0, 0, 1, -0.009796, 24, 1, 15.225006, ;, 0, 172375610
84, 0, 1, 0.040039, tank, 1025, 0, 1, 1, 1, 0.000427, 120, 1, 14.715790, U, 1, 6881024847177594086
ff, 60, 373692, -373.964844, wound, 847245411, 0, 1, 1, 0, 0.019714, 1, 1, 12.279541, T, 1, 1776271423681232263
5, 6, -49109, 43.600098, nut, 847245411, 0, 1, 1, 1, -0.030975, 52, 1, 12.279541, f, 0, 1776271423681232263
5, 6, -85, -0.233398, monkey, 847245411, 0, 1, 1, 0, -0.000031, 1, 1, 12.279541, f, 1, 1776271423681232263
ff, 28, -14, 50062.604004, pipe, 31, 0, 1, 1, 1, -3.275177, 48, 1, 9.400818, U, 0, 1298
ff, 28, -14, -0.023926, pipe, 31, 0, 0, 1, 0, -125.452209, 3530, 1, 9.400818, U, 0, 1298
ff, 0, -2, 0.104004, pipe, 31, 0, 0, 1, 1, -117.798828, 688, 1, 9.400818, U, 1, 1097494
dd, 0, -6718107, 53.396973, twig, 7901, 0, 1, 0, 1, 13.412079, 688, 1, 7.821686, [, 0, 26231218578
e, 121, -2, 50062.604004, value, 118, 0, 1, 1, 1, 15.438446, 688, 1, 7.821686, 7, 0, 1097494
3, 13, -15510, 0.414062, nut, 17, 0, 1, 1, 0, 0.000854, 7, 1, 7.628906, v, 0, 17118357196942697
fb, 2, 4075, 2.113281, pin, 84484, 0, 1, 0, 1, 0.008575, 3, 0, 7.210297, 0, 0, 642
e5, 7, -5217784, -0.008789, trail, 39388262, 1, 0, 1, 1, -3276.595459, 8, 0, 6.001740, g, 0, 1
e5, 7, -5217784, -0.008789, trail, 39388262, 1, 0, 1, 1, -0.000031, 8, 0, 6.001740, g, 0, 1
db, 0, 1653, -9869.096680, , 1496939, 1, 1, 0, 0, 4.771820, 172, 0, 5.944763, X, 1, 33137898253
ff, 42, -1, -117925.841797, cook, 24828027, 1, 0, 0, 0, -1.611359, 30389, 0, 5.341766, |, 0, 13
ff, 42, -1, -276359.383301, cook, 24828027, 1, 0, 0, 0, -0.000244, 30389, 0, 5.341766, |, 0, 13
ff, 29, 860415593, -29643.458984, toy, 1515980, 0, 0, 1, 0, 0.000092, 0, 0, 2.131439, E, 0, 314391175
a, 7, -913929, 0.093262, toy, 1515980, 1, 0, 1, 0, -0.000427, 1052, 0, 1.933746, E, 0, 314391175
a, 1, -992285, 0.093262, mice, 1047924, 1, 1, 1, 0, -0.000427, 572, 1, 1.933746, G, 1, 263
a, 10, -992285, -19551.731934, , 1047924, 1, 1, 1, 1, -3757.703125, 1, 1, 1.933746, G, 1, 263
0, 6, 108, -30780.460449, rule, 264, 1, 1, 0, 0, -2.941376, 1878, 0, 1.485504, u, 1, 599336
0, 54, 13, 0.038086, pump, 13182326, 1, 0, 1, 0, 0.000000, 8248, 1, 1.392517, e, 1, 74701198017
3, 46, -6181, 650.281738, self, 0, 0, 1, 0, 0, 874.326782, 29, 1, 1.231567, 2, 1, 140521
0, 54, -6181, 0.038086, pump, 0, 1, 0, 0, 0, 37.731079, 29, 1, 1.231567, 2, 1, 74701198017
6, 27, 361959591, -1106.927734, chair, 3976983530, 0, 1, 1, 1, -0.029297, 1572, 1, 1.224457, ], 1, 1604486492554780845
2, 163, -424056184, 0.001465, smile, 21371780, 1, 0, 0, 0, -1575.902954, 37, 0, 1.000000, L, 0, 2
2, 0, -9769, -0.050293, smile, 21371780, 1, 1, 0, 1, 0.118713, 32157, 0, 1.000000, ], 0, 2228
e5, 6, -9769, 29421.739258, word, 33237156, 1, 1, 0, 1, 0.118713, 2624, 1, 1.000000, M, 0, 220127
3e, 113, -43, 42074.800293, girl, 7634297, 0, 1, 0, 1, -788.350037, 15, 1, 0.807648, W, 0, 446027
0, 38, -43, -0.041016, zephyr, 7634297, 0, 0, 0, 0, -0.000092, 1833, 1, 0.807648, Y, 0, 943352571817613026
0, 4, 202805374, 877.345703, wren, 423, 1, 0, 0, 0, 0.140076, 24885, 1, 0.779541, [, 0, 3427
2, 2, 0, 17603.863770, hose, 2, 0, 0, 1, 0, -0.001770, 111, 0, 0.450531, F, 0, 2
f, 139, -20, 17603.863770, stew, 2, 0, 1, 1, 1, -0.001770, 16, 0, 0.450531, ~, 1, 2
1, 79, -1, -275.877930, harbor, 1251502, 1, 1, 1, 1, -0.000244, 127, 1, 0.387909, f, 0, 2726527875496
4, 0, 104384, 10088.108887, letter, 2511, 1, 1, 1, 1, -15.395111, 3, 1, 0.361908, p, 0, 1539466
0, 1, -1, 36.374512, swim, 172397, 1, 0, 0, 0, 25441.746094, 57, 1, 0.351044, i, 1, 39017143
0, 58, -126637868, 1.000000, , 6, 0, 1, 1, 1, -449.170441, 1299, 1, 0.293732, ), 1, 1304919064
f5, 3, 861806799, 0.000977, army, 416009, 1, 0, 1, 0, -0.000000, 8, 1, 0.286743, U, 0, 7342772954
f5, 6, 861806799, 0.000977, doctor, 416009, 0, 0, 1, 0, 0.118042, 482, 1, 0.286743, U, 1, 7342772954
fa, 3, 4, -56472.177246, income, 62282786, 1, 0, 0, 0, -0.000000, 8, 1, 0.257416, V, 1, 148171
f7, 0, -451, -0.003418, sign, 819216374, 1, 0, 0, 1, -0.010834, 19, 0, 0.230621, }, 0, 951206773181964001
f0, 0, -451, -0.011230, spring, 9637668, 0, 0, 1, 0, -0.010834, 3, 1, 0.230621, G, 0, 951206773181964001
f0, 0, 510737285, -0.011230, , 9637668, 1, 1, 1, 0, -0.000031, 24, 1, 0.173523, (, 0, 10509481284
fe, 6, 13036, 51868.832520, donkey, 261, 1, 1, 0, 1, -113.726196, 25, 0, 0.167297, =, 1, 1990
fe, 15, 4500, 123504.508789, , 261, 1, 0, 0, 0, -113.726196, 24, 0, 0.167297, =, 0, 26335452179743974
e1, 32, -5590, -684.741211, hour, 437, 0, 1, 0, 0, -0.000092, 884, 1, 0.126892, -, 0, 79148020712614
2, 1, 0, 212267.633789, trucks, 437, 0, 1, 1, 0, -0.000092, 2951, 1, 0.126892, R, 0, 19433340650149
e1, 3, 270, -684.741211, price, 437, 0, 1, 1, 0, -0.000092, 22, 1, 0.126892, R, 0, 79148020712614
1, 55, -88, 311850.913086, teeth, 116769, 1, 0, 1, 0, -0.000092, 3421, 0, 0.075684, g, 0, 35497296
fd, 0, 2988284, -15.054199, horn, 7287843, 1, 1, 0, 0, -0.000031, 3421, 1, 0.075684, 5, 1, 7650601904494767
1, 0, 2988284, 311850.913086, poison, 116769, 1, 1, 1, 0, 2891.965820, 3421, 1, 0.075684, g, 1, 14
fe, 5, -84387630, 11.296387, taste, 0, 1, 1, 0, 1, -0.002747, 7642, 0, 0.058777, C, 1, 216427871
7, 5, -84387630, -0.070801, news, 1093256972, 0, 1, 0, 1, -0.002747, 28408, 1, 0.058777, C, 0, 28576314262598589
eb, 107, -480, -0.000977, soap, 1093256972, 0, 1, 0, 1, 0.000732, 0, 1, 0.055695, K, 1, 28576314262598589
6, 21, -44765795, 421.979004, glass, 97606758, 1, 1, 1, 0, -59.535156, 1, 1, 0.050659, I, 1, 74783
ff, 115, -44765795, 0.001465, dad, 2159, 0, 1, 1, 0, -0.006104, 1387, 1, 0.050659, +, 0, 296988836976626
ff, 22, 1, -500756.969727, dad, 2159, 0, 1, 1, 0, 1673.029053, 4, 1, 0.050659, +, 1, 296988836976626
36, 9, -13842, 0.687988, answer, 7889579, 0, 1, 0, 0, 0.000031, 8, 0, 0.035156, }, 0, 466647864702
36, 0, -13842, 0.687988, , 7889579, 1, 0, 0, 0, -0.020630, 3945, 0, 0.035156, }, 0, 16563036059166174
0, 0, -1, 69576.945312, swing, 7889579, 0, 0, 0, 0, 0.042969, 4055, 0, 0.035156, }, 0, 16563036059166174
0, 13, -1, 69576.945312, river, 792, 0, 1, 1, 1, 0.042969, 4055, 0, 0.014282, =, 0, 496467609568702
1d, 0, -245761, 18.734863, roof, 1042409, 0, 0, 0, 1, -0.464722, 510, 1, 0.013763, !, 0, 12674134676037114
1, 2, -602914, 475.770020, jump, 148, 1, 1, 0, 0, 818.221436, 340, 0, 0.009857, I, 1, 117718
1, 2, -602914, 475.770020, jump, 148, 1, 1, 0, 0, 2038.941650, 340, 0, 0.009857, I, 1, 117718
fe, 14, -602914, 475.770020, jump, 148, 1, 1, 0, 1, 2038.941650, 340, 0, 0.009857, I, 1, 117718
1, 0, -1, -0.177246, owl, 11, 0, 0, 0, 1, -1.869598, 871, 0, 0.007599, ], 0, 3690134
1, 0, -1893, 0.017090, road, 144425, 0, 0, 0, 1, -120.479248, 871, 1, 0.007599, #, 0, 4
0, 57, -10908, 0.000000, feet, 3461097537, 1, 0, 0, 0, 0.204132, 13, 0, 0.007141, $, 1, 19079120644844
18, 3, -8181340, 0.000000, glove, 499564771, 1, 0, 1, 1, 0.000183, 634, 0, 0.007141, U, 1, 90554316642
18, 45, -63234681, 0.000000, , 499564771, 0, 0, 1, 0, -20008.318359, 634, 1, 0.007141, U, 1, 90554316642
1, 4, -22020, -228922.458984, brush, 47393451, 1, 0, 0, 1, -183.029205, 109, 1, 0.006958, ~, 1, 71513040141867435
c4, 4, -6273, -0.001465, crib, 47393451, 1, 0, 0, 0, 5.151001, 109, 1, 0.006958, ~, 0, 2282440128448747643
fd, 122, 13668660, 767.366699, scale, 506626454, 0, 1, 1, 0, 0.004913, 0, 1, 0.006134, @, 1, 130023049505
c5, 20, 681, 117.138184, band, 506626454, 1, 0, 1, 0, 86.598938, 956, 0, 0.005798, E, 1, 20738
c5, 3, -1, 239.804199, band, 7743303, 1, 0, 1, 0, 1.662720, 3326, 0, 0.005798, E, 0, 20738
f9, 3, 25283, -165618.502441, brush, 34, 1, 1, 1, 1, -0.043915, 167, 0, 0.005524, t, 0, 34
2, 1, 844921, -0.051270, doll, 362268120, 1, 0, 1, 1, 0.275299, 45, 0, 0.004425, Z, 0, 2036514
54, 1, 1152895, -453.151855, price, 2397, 0, 0, 1, 1, 0.002014, 60, 0, 0.003998, ~, 0, 344595233239880948
0, 0, 0, -475326.055664, ink, 106, 1, 1, 0, 1, 12.925354, 217, 0, 0.003540, [, 0, 625631682868647
0, 1, 231826018, -475326.055664, boy, 106, 0, 1, 0, 1, 0.000000, 1, 0, 0.003540, x, 1, 625631682868647
0, 2, 1502067, -22999.618652, potato, 106, 0, 1, 0, 1, 0.353577, 1583, 1, 0.003540, c, 0, 3285954981208
0, 14, 16305, 166.742188, ink, 106, 0, 0, 0, 1, 0.027954, 6288, 1, 0.003540, c, 1, 1
1, 241, 6, -240490.580078, rate, 7122, 1, 1, 0, 1, -477.319183, 199, 1, 0.003021, 2, 1, 3285954981208
1, 2, 13, -0.993652, potato, 7122, 0, 1, 0, 1, -77.657776, 301, 1, 0.003021, 2, 1, 3285954981208
1, 2, 87, -240490.580078, rate, 7122, 0, 1, 0, 1, -0.051666, 21790, 1, 0.003021, 2, 1, 3285954981208
fe, 20, 179527370, 98546.699707, hose, 52013024, 1, 1, 0, 1, 0.000275, 0, 1, 0.001404, h, 0, 9066405
fe, 0, 1833, 81.925293, dog, 44010884, 1, 0, 0, 0, 0.001892, 30404, 0, 0.000977, h, 0, 11
2, 6, -15, 0.000000, push, 1852, 0, 1, 0, 1, 161.038818, 746, 0, 0.000977, v, 0, 1003
0, 6, 399, 0.000000, push, 1852, 0, 1, 0, 1, 161.038818, 746, 0, 0.000977, v, 0, 218006127
87, 0, 7, -18.985840, tongue, 44010884, 1, 0, 0, 0, 0.001892, 8, 1, 0.000977, H, 0, 56
a, 71, 281427, 57714.060547, juice, 243250, 0, 0, 1, 0, -0.012024, 281, 1, 0.000824, 2, 0, 26054
a, 0, -246479, -0.004883, juice, 243250, 1, 0, 1, 0, 43.890442, 4, 1, 0.000824, 2, 0, 35749989219842
3f, 14, -25746, -0.034668, grape, 1297, 1, 0, 0, 0, -31364.521484, 10, 1, 0.000763, Q, 0, 190
0, 1, -1495693941, 0.017578, pets, 952, 1, 1, 0, 1, -242.985870, 3873, 0, 0.000671, A, 1, 483269035414677004
3f, 1, -25746, 0.017578, pets, 952, 0, 0, 0, 1, -0.000732, 58, 0, 0.000671, Q, 1, 483269035414677004
1, 7, -106876394, 30416.485352, answer, 67008, 1, 1, 0, 1, -0.000000, 3, 0, 0.000458, r, 1, 23244527
1, 29, -106876394, 30416.485352, friend, 67008, 1, 0, 1, 1, 1.522644, 0, 1, 0.000458, r, 1, 49478152267313272
1, 29, -106876394, 30416.485352, friend, 67008, 1, 0, 1, 0, -118.304932, 3, 1, 0.000458, r, 1, 49478152267313272
1, 29, -106876394, 30416.485352, friend, 67008, 1, 0, 1, 0, -0.000031, 3, 1, 0.000458, r, 1, 49478152267313272
0, 14, 607541, -0.000977, wax, 7450, 0, 0, 1, 1, -118.304932, 2, 0, 0.000397, H, 1, 21415433
f6, 0, 8040211, -0.000488, wind, 0, 0, 1, 0, 1, 121.559631, 106, 0, 0.000275, ], 1, 3324428931087020
1, 86, 6661407, -0.093750, growth, 193028, 0, 0, 1, 1, -213.427887, 20, 0, 0.000275, y, 1, 638245327632347952
fe, 1, -503, 0.058594, hair, 193028, 0, 0, 1, 1, 3430.466309, 20, 0, 0.000275, y, 1, 399691
3e, 1, 13675697, -779.896973, sock, 1, 0, 1, 1, 0, 13731.441406, 47769, 0, 0.000214, U, 1, 29687125861563165
1, 12, 97454347, 127500.299316, letter, 1460, 1, 1, 0, 0, -0.008911, 25, 1, 0.000214, K, 1, 114895662
3, 25, -1287, 0.007812, woman, 2381134, 0, 1, 1, 0, 60.874847, 209, 1, 0.000214, R, 1, 157329
3, 241, 12137953, 0.000977, woman, 2381134, 1, 0, 1, 0, -3589.510742, 13, 1, 0.000214, R, 1, 1479
f9, 9, 45287238, -0.009277, silk, 2369680356, 0, 0, 0, 1, 51.860809, 12, 1, 0.000153, -, 0, 4640127864021016331
f6, 15, 13866, -7.569336, pipe, 1695, 0, 1, 0, 1, -16300.353516, 111, 1, 0.000153, 0, 0, 2752263234805
f6, 15, 13866, -7.569336, pipe, 1695, 1, 1, 0, 0, -1.043579, 220, 1, 0.000153, 0, 0, 2752263234805
ff, 5, -3812884, 2981.080566, frame, 819, 0, 0, 1, 0, -0.015472, 4, 0, 0.000122, N, 0, 230327
1, 0, -300839, 121246.991699, shame, 725822270, 0, 1, 0, 1, -0.018311, 215, 1, 0.000122, f, 1, 5593206188230816694
ff, 0, -30400622, 0.000000, wire, 6, 0, 1, 0, 1, 0.000031, 29, 1, 0.000122, V, 0, 2236
ff, 0, -30400622, -315.666992, wire, 6, 0, 1, 0, 1, 0.298981, 866, 1, 0.000122, V, 0, 2236
3b, 24, 73, -12.189941, shame, 8, 0, 0, 1, 1, 0.015198, 20, 1, 0.000122, f, 0, 12481133030
1, 55, 446797637, -0.000488, , 12114236, 1, 1, 0, 1, 0.000122, 13, 1, 0.000092, 3, 1, 65105690118680
33, 7, 199822, 0.162598, rifle, 6502, 1, 0, 0, 1, 1.167664, 1, 1, 0.000092, #, 0, 267565535253
e8, 4, -374658, -0.000977, pocket, 143075, 0, 1, 1, 0, 1058.746338, 321, 1, 0.000092, M, 0, 3133017360842460029
6, 1, -27, 18893.711426, ground, 1303993419, 0, 1, 0, 0, 0.025482, 384, 0, 0.000061, Q, 0, 52835
6, 12, -1916011, -639.952637, ground, 1303993419, 0, 1, 0, 1, 0.025482, 3429, 0, 0.000061, Q, 1, 52835
d0, 2, 2, 44.019531, boats, 158572401, 1, 1, 0, 0, 0.219971, 1, 0, 0.000061, f, 0, 102797
0, 3, 29, 213123.486328, zephyr, 8072, 0, 1, 0, 0, 228.542664, 9, 0, 0.000061, ], 1, 0
6, 12, -882408, -0.000977, ground, 1303993419, 1, 1, 1, 0, -2.740692, 384, 0, 0.000061, Q, 0, 52835
6, 26, -882408, -0.057617, ground, 1303993419, 0, 0, 1, 0, -1.545654, 14705, 0, 0.000061, Q, 1, 715990111169
fe, 103, 1043163, -28681.083984, camp, 417362691, 0, 1, 0, 0, 0.000397, 152, 0, 0.000031, 4, 0, 545
0, 46, -512, -204071.562500, hat, 1634461902, 1, 0, 1, 1, -0.000366, 3, 0, 0.000031, 3, 0, 670712928692
0, 12, 3506743, 3.908691, town, 1634461902, 1, 0, 1, 1, 24561.529297, 3, 0, 0.000031, G, 0, 564933
8, 241, 4, 0.010742, pen, 43134157, 0, 1, 1, 1, 2979.330811, 13411, 0, 0.000031, p, 1, 88
5, 3, 1, -1858.124023, owner, 4585, 1, 1, 1, 0, 0.016724, 3458, 0, 0.000031, p, 0, 10793
ff, 16, -127286, -0.059570, , 3, 0, 1, 1, 1, 14.281616, 7, 0, 0.000031, e, 1, 40629827538
fd, 2, -10245, -0.113770, , 3, 1, 1, 1, 0, 14.281616, 2970, 0, 0.000031, e, 0, 40629827538
ff, 0, -10443, -239693.703613, women, 23271425, 1, 1, 0, 1, 0.016724, 1, 1, 0.000031, w, 1, 10793
fc, 38, 360206290, 0.052246, riddle, 2592, 0, 0, 0, 0, -0.000000, 32243, 1, 0.000031, 2, 0, 15956
ff, 1, 2421170, 0.013184, riddle, 2592, 0, 1, 0, 0, 1275.437256, 32243, 1, 0.000031, Q, 1, 15956
0, 16, 717522502, 337.232910, system, 29851, 1, 1, 1, 0, 16.678894, 481, 1, 0.000031, 2, 0, 7050352376632
d3, 1, 941889208, 337.232910, system, 29851, 1, 1, 1, 0, 0.127075, 13570, 1, 0.000031, 2, 1, 13443
